ip,user_id,lat,lng,timestamp,http_request,http_response,num_bytes,user_agent
55.51.94.102,1,38.8951,-77.0364,2021-08-17 07:26:33.481900+00:00,GET home.html HTTP/1.0,200,344,Mozilla/5.0 (compatible; MSIE 6.0; Windows NT 5.1; Trident/4.1)
55.51.94.102,1,38.8951,-77.0364,2021-08-17 07:26:34.705802+00:00,GET home.html HTTP/1.0,200,331,Mozilla/5.0 (compatible; MSIE 6.0; Windows NT 5.1; Trident/4.1)
55.51.94.102,1,38.8951,-77.0364,2021-08-17 07:26:44.373134+00:00,GET eucharya.html HTTP/1.0,200,473,Mozilla/5.0 (compatible; MSIE 6.0; Windows NT 5.1; Trident/4.1)
55.51.94.102,1,38.8951,-77.0364,2021-08-17 07:26:53.489823+00:00,GET animalia.html HTTP/1.0,200,387,Mozilla/5.0 (compatible; MSIE 6.0; Windows NT 5.1; Trident/4.1)
55.51.94.102,1,38.8951,-77.0364,2021-08-17 07:26:56.351030+00:00,GET acanthocephala.html HTTP/1.0,200,193,Mozilla/5.0 (compatible; MSIE 6.0; Windows NT 5.1; Trident/4.1)
55.51.94.102,1,38.8951,-77.0364,2021-08-17 07:27:01.835447+00:00,GET acanthocephala.html HTTP/1.0,200,211,Mozilla/5.0 (compatible; MSIE 6.0; Windows NT 5.1; Trident/4.1)
55.51.94.102,1,38.8951,-77.0364,2021-08-17 07:27:01.858503+00:00,GET acanthocephala.html HTTP/1.0,200,424,Mozilla/5.0 (compatible; MSIE 6.0; Windows NT 5.1; Trident/4.1)
55.51.94.102,1,38.8951,-77.0364,2021-08-17 07:27:04.694124+00:00,GET acanthocephala.html HTTP/1.0,200,126,Mozilla/5.0 (compatible; MSIE 6.0; Windows NT 5.1; Trident/4.1)
55.51.94.102,1,38.8951,-77.0364,2021-08-17 07:27:08.617289+00:00,GET animalia.html HTTP/1.0,200,145,Mozilla/5.0 (compatible; MSIE 6.0; Windows NT 5.1; Trident/4.1)
55.51.94.102,1,38.8951,-77.0364,2021-08-17 07:27:14.799682+00:00,GET animalia.html HTTP/1.0,200,213,Mozilla/5.0 (compatible; MSIE 6.0; Windows NT 5.1; Trident/4.1)
55.51.94.102,1,38.8951,-77.0364,2021-08-17 07:27:19.919039+00:00,GET acanthocephala.html HTTP/1.0,200,278,Mozilla/5.0 (compatible; MSIE 6.0; Windows NT 5.1; Trident/4.1)
55.51.94.102,1,38.8951,-77.0364,2021-08-17 07:27:24.591199+00:00,GET animalia.html HTTP/1.0,200,466,Mozilla/5.0 (compatible; MSIE 6.0; Windows NT 5.1; Trident/4.1)
55.51.94.102,1,38.8951,-77.0364,2021-08-17 07:27:29.678756+00:00,GET animalia.html HTTP/1.0,200,290,Mozilla/5.0 (compatible; MSIE 6.0; Windows NT 5.1; Trident/4.1)
55.51.94.102,1,38.8951,-77.0364,2021-08-17 07:27:32.876694+00:00,GET animalia.html HTTP/1.0,200,458,Mozilla/5.0 (compatible; MSIE 6.0; Windows NT 5.1; Trident/4.1)
55.51.94.102,1,38.8951,-77.0364,2021-08-17 07:27:37.911768+00:00,GET animalia.html HTTP/1.0,200,223,Mozilla/5.0 (compatible; MSIE 6.0; Windows NT 5.1; Trident/4.1)
55.51.94.102,1,38.8951,-77.0364,2021-08-17 07:27:41.293492+00:00,GET eucharya.html HTTP/1.0,200,464,Mozilla/5.0 (compatible; MSIE 6.0; Windows NT 5.1; Trident/4.1)
55.51.94.102,1,38.8951,-77.0364,2021-08-17 07:27:50.974175+00:00,GET fungi.html HTTP/1.0,200,355,Mozilla/5.0 (compatible; MSIE 6.0; Windows NT 5.1; Trident/4.1)
55.51.94.102,1,38.8951,-77.0364,2021-08-17 07:27:54.086164+00:00,GET blastocladiomycota.html HTTP/1.0,200,127,Mozilla/5.0 (compatible; MSIE 6.0; Windows NT 5.1; Trident/4.1)
55.51.94.102,1,38.8951,-77.0364,2021-08-17 07:28:01.193137+00:00,GET fungi.html HTTP/1.0,200,319,Mozilla/5.0 (compatible; MSIE 6.0; Windows NT 5.1; Trident/4.1)
55.51.94.102,1,38.8951,-77.0364,2021-08-17 07:28:06.636183+00:00,GET eucharya.html HTTP/1.0,200,372,Mozilla/5.0 (compatible; MSIE 6.0; Windows NT 5.1; Trident/4.1)
55.51.94.102,1,38.8951,-77.0364,2021-08-17 07:28:09.719826+00:00,GET animalia.html HTTP/1.0,200,425,Mozilla/5.0 (compatible; MSIE 6.0; Windows NT 5.1; Trident/4.1)
55.51.94.102,1,38.8951,-77.0364,2021-08-17 07:28:15.609236+00:00,GET animalia.html HTTP/1.0,200,349,Mozilla/5.0 (compatible; MSIE 6.0; Windows NT 5.1; Trident/4.1)
55.51.94.102,1,38.8951,-77.0364,2021-08-17 07:28:16.177692+00:00,GET acanthocephala.html HTTP/1.0,200,400,Mozilla/5.0 (compatible; MSIE 6.0; Windows NT 5.1; Trident/4.1)
55.51.94.102,1,38.8951,-77.0364,2021-08-17 07:28:21.309552+00:00,GET animalia.html HTTP/1.0,200,371,Mozilla/5.0 (compatible; MSIE 6.0; Windows NT 5.1; Trident/4.1)
55.51.94.102,1,38.8951,-77.0364,2021-08-17 07:28:26.496858+00:00,GET acanthocephala.html HTTP/1.0,200,208,Mozilla/5.0 (compatible; MSIE 6.0; Windows NT 5.1; Trident/4.1)
55.51.94.102,1,38.8951,-77.0364,2021-08-17 07:28:26.998785+00:00,GET animalia.html HTTP/1.0,200,311,Mozilla/5.0 (compatible; MSIE 6.0; Windows NT 5.1; Trident/4.1)
55.51.94.102,1,38.8951,-77.0364,2021-08-17 07:28:36.586453+00:00,GET eucharya.html HTTP/1.0,200,223,Mozilla/5.0 (compatible; MSIE 6.0; Windows NT 5.1; Trident/4.1)
55.51.94.102,1,38.8951,-77.0364,2021-08-17 07:28:36.847330+00:00,GET fungi.html HTTP/1.0,200,307,Mozilla/5.0 (compatible; MSIE 6.0; Windows NT 5.1; Trident/4.1)
55.51.94.102,1,38.8951,-77.0364,2021-08-17 07:28:40.736094+00:00,GET eucharya.html HTTP/1.0,200,230,Mozilla/5.0 (compatible; MSIE 6.0; Windows NT 5.1; Trident/4.1)
55.51.94.102,1,38.8951,-77.0364,2021-08-17 07:28:47.835668+00:00,GET home.html HTTP/1.0,200,110,Mozilla/5.0 (compatible; MSIE 6.0; Windows NT 5.1; Trident/4.1)
55.51.94.102,1,38.8951,-77.0364,2021-08-17 07:28:56.742728+00:00,GET home.html HTTP/1.0,200,437,Mozilla/5.0 (compatible; MSIE 6.0; Windows NT 5.1; Trident/4.1)
55.51.94.102,1,38.8951,-77.0364,2021-08-17 07:28:58.732206+00:00,GET home.html HTTP/1.0,200,190,Mozilla/5.0 (compatible; MSIE 6.0; Windows NT 5.1; Trident/4.1)
55.51.94.102,1,38.8951,-77.0364,2021-08-17 07:29:06.296727+00:00,GET bacteria.html HTTP/1.0,200,319,Mozilla/5.0 (compatible; MSIE 6.0; Windows NT 5.1; Trident/4.1)
55.51.94.102,1,38.8951,-77.0364,2021-08-17 07:29:12.523278+00:00,GET bacteria.html HTTP/1.0,200,306,Mozilla/5.0 (compatible; MSIE 6.0; Windows NT 5.1; Trident/4.1)
55.51.94.102,1,38.8951,-77.0364,2021-08-17 07:29:15.394056+00:00,GET bacteria.html HTTP/1.0,200,496,Mozilla/5.0 (compatible; MSIE 6.0; Windows NT 5.1; Trident/4.1)
55.51.94.102,1,38.8951,-77.0364,2021-08-17 07:29:18.105218+00:00,GET bacteria.html HTTP/1.0,200,374,Mozilla/5.0 (compatible; MSIE 6.0; Windows NT 5.1; Trident/4.1)
